floor_area,number_of_floors,window_to_wall_ratio,wall_thickness,avg_temperature,avg_humidity,solar_radiation,thermal_resistance,estimated_energy_usage,daylight_factor,thermal_load
214,1,0.46,0.44,9.7,29,114,5.47,472.3,0.52,-998.5
148,3,0.26,0.29,27.2,54,234,0.1,45880.6,0.61,1054.9
147.4,3,0.46,0.49,33.6,25,743,3.13,1989.3,3.42,1377.2
186.8,3,0.19,0.29,1.4,33,643,3.3,126.6,1.22,-2327.9
84.5,2,0.43,0.43,12.9,79,574,3.31,417.9,2.47,-401.4
266.2,3,0.35,0.2,0.4,52,728,3.43,102.9,2.55,-3427.9
286.8,2,0.17,0.41,4.6,24,269,3.27,463.3,0.46,-2972.5
286.4,1,0.43,0.3,1.7,34,617,3.78,213.3,2.65,-3260
53.7,2,0.38,0.43,20.2,51,188,3.74,348.4,0.71,6.7
127.5,3,0.11,0.29,7.2,35,760,3.04,352.2,0.84,-1135.9
204.6,3,0.37,0.46,34.9,32,880,0.07,123927.1,3.26,3027.2
190.8,2,0.31,0.35,1.1,35,675,3.09,126.6,2.09,-2491.8
91.6,1,0.19,0.28,0.6,22,673,3.15,40.5,1.28,-1217.3
146.1,2,0.34,0.34,11.9,51,261,3.29,631.8,0.89,-794.1
199.5,2,0.32,0.44,2.3,45,247,3.41,172.9,0.79,-2327
223.7,2,0.33,0.27,13.2,56,722,3.64,996.8,2.38,-967.5
91.2,1,0.45,0.3,8.3,46,596,3.35,296.7,2.68,-709.6
58.2,1,0.14,0.46,4.9,70,200,3.58,88.7,0.28,-564.2
96.3,2,0.14,0.45,31.2,27,970,3.66,905.7,1.36,683.8
72.5,1,0.23,0.32,-6.9,25,582,0.03,17024.4,1.34,-1944.4
270.3,2,0.11,0.5,13,34,982,6.45,618.2,1.08,-671.7
274.3,3,0.12,0.36,4.5,29,889,6.16,254.4,1.07,-1632.6
222.6,1,0.3,0.39,32.1,79,246,3.67,2256.2,0.74,1705
214.7,3,0.44,0.2,33.7,24,881,3.04,2979.6,3.88,2047.2
116.3,2,0.19,0.33,19.1,75,802,3.63,698.2,1.52,-66.7
65.2,2,0.18,0.21,19.3,37,232,0.06,23135,0.42,-45.4
190.7,2,0.29,0.26,9.4,51,873,6.11,367.1,2.53,-786.3
141.5,1,0.47,0.41,12.1,34,449,3.57,614.3,2.11,-718.8
101.9,2,0.34,0.33,2.3,74,216,3.6,83.3,0.73,-1154.3
81.6,1,0.2,0.28,3,42,544,3.37,94.4,1.09,-919.7
256.4,3,0.24,0.46,25.8,79,458,3.09,2440.3,1.1,1027.6
113,2,0.49,0.31,34.4,73,163,0.07,69464.2,0.8,1615.8
224,1,0.21,0.36,25.4,65,178,5.3,1194.5,0.37,568.5
167.5,2,0.31,0.3,12.7,56,525,5.95,430,1.63,-495.2
147.2,2,0.19,0.5,33.1,45,754,5.24,1041.4,1.43,917.9
299.5,2,0.38,0.42,17.3,62,815,3.35,1927.2,3.1,-537.8
199.3,3,0.33,0.39,16.8,40,644,3.3,1227.3,2.13,-427.3
295.2,1,0.18,0.34,29.5,74,958,3.07,3192.3,1.72,1943.4
80.3,1,0.22,0.32,9.2,46,640,0.01,87706.9,1.41,-866.4
111.1,1,0.26,0.29,4,51,119,6.18,83.7,0.31,-679
187.1,2,0.44,0.46,-3,20,235,0.09,7012.7,1.03,-4264.6
289.1,3,0.44,0.38,8,40,556,6.4,471.5,2.45,-1248.9
299,1,0.48,0.25,21.9,53,448,0.09,92063.8,2.15,563
212.7,2,0.44,0.5,33.9,59,162,6.34,1394.1,0.71,1082.1
127.5,1,0.2,0.22,-5.4,51,406,0.07,10005.8,0.81,-3215.8
76.7,2,0.21,0.48,15.5,49,430,3.56,379.2,0.9,-222.3
230.6,1,0.14,0.26,4.5,40,229,3.78,308.7,0.32,-2223.2
123.2,2,0.12,0.29,29.1,62,775,3.7,1054.4,0.93,706.3
130.3,1,0.15,0.43,28.2,76,259,3.7,1077.4,0.39,673.1
298.4,1,0.18,0.49,-5.5,22,594,3.63,439.6,1.07,-4847.1
68.3,1,0.24,0.28,6.5,54,939,3.1,183.6,2.25,-636.2
121.7,2,0.42,0.33,-8.2,60,801,3.6,302.7,3.36,-2196.4
128,1,0.2,0.37,-2.4,66,542,0.03,8720.2,1.08,-2858.6
176.8,3,0.4,0.38,22.2,66,149,3.21,1477.1,0.6,264.1
261.6,2,0.49,0.28,24.7,61,398,0.07,116774.5,1.95,1220.9
258.7,3,0.32,0.45,33.5,57,375,3.75,2710.8,1.2,2182.8
127.3,1,0.48,0.45,-3,53,881,5.46,61.3,4.23,-1329.3
184.4,1,0.17,0.45,24.1,44,325,3.69,1324.3,0.55,477.1
73.5,1,0.46,0.45,24.6,33,679,5.41,422.4,3.12,155.2
229.1,1,0.31,0.27,19.3,63,137,3.38,1521.7,0.42,-106.2
115.5,2,0.4,0.39,17.9,54,281,0.02,125994.3,1.12,-242.1
269.5,2,0.39,0.2,-0.8,50,153,6.35,32.8,0.6,-2046
119.5,2,0.35,0.29,25.4,78,595,0.08,45625.3,2.08,640.1
277,3,0.44,0.47,26.9,31,124,3.48,2624.3,0.55,1246.2
283.8,3,0.43,0.4,23.7,32,602,5.07,1652.8,2.59,517.7
144.2,2,0.37,0.32,-7.1,21,586,3.61,308.3,2.17,-2497.1
296.1,3,0.36,0.25,26,62,486,3.17,2919.3,1.75,1213.4
261,2,0.25,0.42,22.3,58,857,3.78,1798.8,2.14,373.4
105.3,3,0.44,0.48,24,26,248,0.03,103834.8,1.09,419.9
248.2,3,0.4,0.36,24,34,917,3.71,2000.3,3.67,624.5
192.1,1,0.42,0.43,6.2,37,772,3.23,501.7,3.24,-1794.7
280.3,3,0.28,0.33,28.6,70,728,3.52,2662.4,2.04,1562.1
219.1,1,0.41,0.38,-4.1,39,141,3.7,282.5,0.58,-3326.6
173.7,1,0.22,0.37,-2.4,35,841,0.03,10019.5,1.85,-3879.2
85.2,2,0.21,0.41,6.4,31,209,3.57,174.3,0.44,-745.1
214.2,2,0.21,0.31,11,59,169,3.65,724.3,0.35,-1224.2
277.8,2,0.27,0.25,25.3,27,182,3.57,2250.6,0.49,946.7
54.3,3,0.49,0.45,4.6,49,724,0.06,5998.7,3.55,-831.2
184.1,3,0.27,0.39,19.8,38,640,3.63,1176.6,1.73,-23.5
222,1,0.29,0.46,10.1,63,935,3.12,899,2.71,-1512.1
125.6,2,0.35,0.23,1.3,44,287,3.37,69.5,1,-1557.2
244.4,3,0.41,0.48,-1.2,27,802,3.69,31.8,3.29,-3269.4
159.2,1,0.17,0.36,6.4,71,927,3.61,350.6,1.58,-1383.5
71,2,0.19,0.46,5.1,32,967,3.71,127.1,1.84,-665.4
232.7,3,0.38,0.32,24.2,59,374,3.33,2043.5,1.42,651.9
265.7,1,0.49,0.29,19.8,75,297,5.55,1197.8,1.46,-23.6
217.8,2,0.27,0.31,18.5,28,881,6.49,738.2,2.38,-114.7
240.1,3,0.28,0.25,5.6,40,911,0.03,59405.1,2.55,-3447.1
196,3,0.35,0.46,19.2,24,815,0.08,57618.2,2.85,-155.5
228.9,1,0.35,0.48,18.1,43,718,6.42,788.4,2.51,-155.7
122.1,2,0.27,0.4,29.3,34,693,5.56,747.6,1.87,504.2
219.9,1,0.46,0.22,20.4,78,726,5.36,1066.1,3.34,40.8
161.2,2,0.21,0.29,15.9,27,304,3.34,864.2,0.64,-440.2
270.8,3,0.3,0.34,1.3,37,858,3.63,185.1,2.57,-3225.7
114.7,2,0.16,0.27,17.7,43,269,0.02,111296.4,0.43,-263.3
233.5,3,0.32,0.31,16.8,32,173,3.27,1405.9,0.55,-502.9
146.2,1,0.47,0.27,23.4,54,727,0.01,435629.9,3.42,496.6
62.1,3,0.45,0.23,21.3,56,158,5.06,322.6,0.71,39.9
278.4,1,0.47,0.41,25.6,33,115,6.3,1403.4,0.54,576.8
101.5,2,0.37,0.49,4.4,68,291,5.38,104.9,1.08,-731.5
261.2,3,0.42,0.37,19.4,69,741,0.01,636560.3,3.11,-156.6
111.8,3,0.23,0.23,-2.4,59,336,0.06,4288.2,0.77,-2489.3
288.6,3,0.43,0.35,9.5,41,665,3.24,1100.1,2.86,-2048.5
55,3,0.1,0.4,-1.2,25,864,3.17,6.1,0.86,-796.4
133.7,1,0.38,0.33,-9.2,64,153,6.41,224.6,0.58,-1401.6
219.7,1,0.17,0.48,-2.6,41,977,3.09,125.2,1.66,-3431
137.2,3,0.37,0.4,-8.8,51,333,3.51,392.2,1.23,-2564.4
82,1,0.47,0.43,22.6,68,737,6.08,388.7,3.46,83.6
287.8,1,0.21,0.49,0.3,44,342,3.53,57.8,0.72,-3668.3
181.2,3,0.13,0.42,14,34,536,0.01,280512.8,0.7,-1086.1
237.8,1,0.29,0.39,34.6,35,330,3.75,2536.2,0.96,2169.9
88.3,2,0.12,0.46,4.1,77,696,6.09,73.7,0.84,-549
171.5,1,0.37,0.46,11.7,60,396,3.52,698.4,1.47,-922.4
212.5,2,0.22,0.47,24.3,43,585,3.57,1644.2,1.29,587.5
61.6,1,0.46,0.33,34,54,664,3.03,866.8,3.05,601.1
116.2,1,0.12,0.29,33.7,29,802,0.09,47218.7,0.96,1577.6
284.7,2,0.2,0.36,5,42,650,3.45,512.9,1.3,-2797.2
223.6,2,0.39,0.23,17.7,58,500,5.42,897.2,1.95,-235.5
171.4,1,0.26,0.41,-0.5,41,870,3.04,23.6,2.26,-2445.5
213.5,2,0.15,0.35,11,50,523,3.25,813.7,0.78,-1297
275.7,3,0.15,0.33,21.1,60,239,5.29,1195.5,0.36,142.8
137.5,1,0.35,0.49,25.9,30,619,3.23,1326.5,2.17,549.2
235,3,0.46,0.4,-0.3,49,742,0.02,6388,3.41,-4761
256.9,2,0.15,0.41,24.4,32,213,3.5,1942.1,0.32,734.7
235.7,3,0.43,0.22,-7.3,20,932,3.02,603.9,4.01,-4491.4
295.4,1,0.45,0.41,2.5,76,327,0.01,102299.2,1.47,-5164.3
89.6,1,0.11,0.4,-4,36,553,5.8,56.2,0.61,-903.2
228,2,0.42,0.22,-4.2,45,908,3,302.7,3.81,-3862.3
158.4,2,0.35,0.33,8.6,47,647,0.01,172105.2,2.26,-1804
70.3,2,0.24,0.37,3.7,32,731,3.4,102.6,1.75,-756.3
186.4,3,0.49,0.2,12.8,51,935,5.77,552.4,4.58,-567.7
277.3,2,0.46,0.44,-8.9,38,418,3.62,799.2,1.92,-5112.9
252,2,0.28,0.35,20.1,72,167,0.03,194076.8,0.47,25.1
129.1,3,0.16,0.37,30.9,72,649,3.42,1286.2,1.04,925.9
257.6,3,0.24,0.44,6.4,32,160,3.55,533.1,0.38,-2259.7
58.3,2,0.32,0.4,-7.7,26,609,6.23,77,1.95,-608.8
67.4,3,0.37,0.47,17.1,77,410,0.02,69925.3,1.52,-195.1
289.4,2,0.31,0.4,31.7,59,735,3.56,3045.4,2.28,2180.6
104.1,1,0.47,0.47,-6.8,32,618,3.19,249.1,2.9,-1899.9
189.9,1,0.44,0.21,31.9,63,448,3.02,2481.6,1.97,1577.3
187.9,2,0.38,0.22,-7.6,49,155,0.09,18496.8,0.59,-5139.4
159.8,3,0.27,0.49,-2.5,60,410,0.08,4738.4,1.11,-3566.7
153.9,2,0.28,0.49,19.9,52,474,3.05,1172,1.33,-10.7
144.4,1,0.44,0.22,18.1,37,216,3.78,853.6,0.95,-170.7
88.4,1,0.3,0.37,13.5,26,245,0.01,139731.7,0.74,-574
272.2,1,0.45,0.32,30.3,47,659,0.02,516156.2,2.97,2798.1
84.7,3,0.39,0.47,14.6,49,325,3.65,413.9,1.27,-290.4
241.1,2,0.23,0.26,-9,56,313,3.56,656,0.72,-4502.8
267.3,3,0.23,0.33,11.7,55,438,0.07,51680,1.01,-2203.1
246.3,1,0.27,0.47,-5.9,60,918,0.04,34818,2.48,-6353.7
215.7,1,0.18,0.35,22.7,45,181,3.52,1528.3,0.33,377.4
60.6,2,0.21,0.42,-3.1,70,499,3.41,51.1,1.05,-922.5
116.6,3,0.45,0.27,20.9,55,687,3.62,851.8,3.09,67
210.6,1,0.1,0.27,-5.2,65,605,0.02,50804.6,0.6,-5296.5
278.2,1,0.39,0.36,-3.4,61,883,3.07,272.6,3.44,-4511.3
57,3,0.27,0.47,29.3,20,460,3.73,516.2,1.24,332.4
243.2,3,0.42,0.44,27.7,71,590,3.71,2243.9,2.48,1177.9
141.6,3,0.37,0.44,23.7,57,218,3.29,1219.9,0.81,351.6
70.4,2,0.11,0.4,-3.5,28,958,5.82,32.4,1.05,-691.5
291.5,3,0.28,0.38,21,71,718,3.28,2200.3,2.01,195.9
155.6,3,0.37,0.23,-8.4,37,394,3.26,452.8,1.46,-2978.4
152.7,3,0.33,0.24,-9.1,30,828,5,294.3,2.73,-2221.8
62.4,2,0.24,0.38,0.6,26,337,3.76,17.4,0.81,-755.4
147.6,2,0.14,0.37,18,68,126,0.06,47711.3,0.18,-293.4
166.7,1,0.17,0.29,28.6,48,319,3.05,1714.9,0.54,996.4
271.7,3,0.46,0.44,11,41,237,3.77,996.1,1.09,-1523.4
236.2,1,0.37,0.32,-9.3,46,619,3.5,694.2,2.29,-4498.4
210.6,2,0.43,0.49,10.2,75,885,3.45,822.2,3.81,-1351.8
60.9,2,0.13,0.4,29.8,45,966,3.22,619.7,1.26,404.6
60.1,3,0.24,0.37,-2.3,55,244,3.79,36.5,0.59,-832.3
176.9,2,0.14,0.39,34.4,43,416,3.46,1904.6,0.58,1666
64.8,3,0.15,0.35,4.7,70,187,3.24,105.1,0.28,-670.2
203.5,3,0.13,0.24,8,56,629,3.65,512.4,0.82,-1550.7
58,1,0.45,0.22,0.5,33,562,3.71,20.3,2.53,-711.4
224.2,3,0.33,0.37,18.1,73,279,6.38,752.4,0.92,-154.2
166.5,2,0.35,0.22,5,25,846,3.65,313.3,2.96,-1585.9
133.7,1,0.27,0.31,18,57,630,3.56,794.1,1.7,-172.2
148,3,0.45,0.46,28.7,32,807,3.76,1422.8,3.63,803.5
213,3,0.44,0.36,27.1,68,968,3.22,2265.1,4.26,1025.3
219.2,1,0.15,0.43,19.5,22,794,5.51,867.9,1.19,-49.2
144.6,2,0.5,0.23,20.3,42,143,5.86,630.6,0.72,18
126.5,2,0.34,0.22,19.1,51,275,3.2,896.1,0.94,-77.4
194.6,2,0.13,0.3,-7.6,37,155,3.56,433.4,0.2,-3458.9
193.8,2,0.14,0.35,29.6,37,250,6.07,1019.7,0.35,731.2
78.8,2,0.1,0.45,20.7,49,567,3.52,499.9,0.57,35.7
261.3,1,0.29,0.29,9.7,63,246,3.56,835.9,0.71,-1733.3
256.4,1,0.3,0.31,22.5,37,448,3.16,2141.3,1.34,438.4
162.1,1,0.38,0.2,29.1,75,254,6.37,888.9,0.97,535.5
110.4,1,0.41,0.34,9.6,69,841,5.77,240.7,3.45,-485.7
281.7,1,0.45,0.29,17.2,65,800,0.06,103524.8,3.6,-784
281.6,2,0.18,0.35,11.7,51,691,3.66,1039.2,1.24,-1481.8
250.6,1,0.2,0.46,0.4,60,686,3.67,81.6,1.37,-3109.1
105.8,3,0.19,0.38,6.1,62,919,0.09,9035.1,1.75,-1457.4
57.8,1,0.4,0.27,30.5,67,329,5.9,362.4,1.32,248.8
180.2,3,0.47,0.39,21.6,76,924,0.09,55696.1,4.34,285.7
227.9,1,0.42,0.42,-2.2,37,325,3.7,139.7,1.36,-3187.4
106,1,0.45,0.29,33.7,25,887,3.27,1373.4,3.99,977.3
176.5,1,0.14,0.42,6.8,30,760,5.8,246.2,1.06,-978.5
219.4,3,0.15,0.24,29.3,26,239,0.07,99527.4,0.36,2026.1
297.8,3,0.21,0.48,2.3,20,870,0.02,52157.4,1.83,-5260.5
272.9,1,0.49,0.21,10.1,34,370,3.29,1081.2,1.81,-1812.8
265.5,3,0.14,0.47,-6.5,61,226,5.76,309.4,0.32,-2983.2
159.6,3,0.45,0.21,-2.7,20,268,3.69,128.9,1.21,-2286.1
241.9,2,0.11,0.22,10,24,902,5.48,507.7,0.99,-1093.4
263.3,2,0.45,0.41,-6.4,75,446,6.36,302,2.01,-2530.2
77.9,1,0.5,0.24,32.8,27,476,5.39,601.2,2.38,459.7
126.5,2,0.21,0.35,19.2,79,168,3.76,720,0.35,-63.1
232.2,2,0.44,0.24,4,57,939,3.16,442.8,4.13,-2541.2
274.1,2,0.15,0.44,6.7,29,118,5.19,387.1,0.18,-1753.5
114.3,2,0.43,0.35,17.7,71,646,3.04,838.1,2.78,-183
176.5,2,0.3,0.27,-1.2,51,253,3.61,53.2,0.76,-2391
180.3,1,0.11,0.29,-8.2,32,134,5.61,273.5,0.15,-2232.1
84.9,3,0.22,0.49,13.9,64,802,3.24,427.6,1.76,-350.1
255.6,2,0.15,0.29,-7.4,20,162,3.16,629.4,0.24,-4790.4
151,1,0.28,0.36,27.3,54,877,0.04,121259.7,2.46,1097.9
80.5,2,0.31,0.4,14.2,75,680,5.33,259.6,2.11,-218
85.3,1,0.27,0.45,-1.7,27,311,3.5,38.4,0.84,-1203.2
217.3,3,0.37,0.3,7.1,20,973,6.39,325.3,3.6,-1011.9
106.8,1,0.49,0.25,24.2,54,278,3.07,1060.2,1.36,310.9
58.5,3,0.29,0.29,20.3,57,519,3.28,425.2,1.51,11.8
298.9,2,0.28,0.41,14.3,75,202,3.57,1384.2,0.57,-1095.5
103,3,0.16,0.22,-7.3,34,695,3.46,212.4,1.11,-1839
58.4,1,0.19,0.35,-6.5,28,458,3.17,121.9,0.87,-1057
258.6,1,0.49,0.4,33.8,21,283,3.01,3645.6,1.39,2494.5
169.8,1,0.37,0.26,23.2,38,862,0.08,60519.8,3.19,539
141.4,1,0.43,0.39,3.5,57,397,3.05,219.5,1.71,-1621.5
72.1,3,0.27,0.22,34.5,57,656,3.17,907.6,1.77,714
266.1,3,0.43,0.41,-5.5,71,962,3.77,389.2,4.14,-4227.4
209,1,0.49,0.4,22.4,49,299,0.08,73829.9,1.47,497.6
173,2,0.28,0.33,10.2,36,142,3.35,608.9,0.4,-1127.4
54.9,2,0.3,0.45,18,57,336,6.27,184.6,1.01,-41
257.8,3,0.41,0.29,15.5,35,467,0.05,99202.7,1.91,-1154.3
279.5,1,0.36,0.22,-5.9,50,525,3.78,469,1.89,-4502.7
117.3,3,0.27,0.26,28.8,52,983,3.5,1132.9,2.65,671
117.7,3,0.14,0.47,-2,55,119,3.19,74.3,0.17,-1763.4
226.2,2,0.31,0.25,18.3,65,931,5.94,845.8,2.89,-156.1
107.8,1,0.4,0.29,-4.8,21,817,0.04,12881,3.27,-2662.7
147.4,3,0.39,0.28,21.3,37,865,0.01,390421,3.37,191.4
291.4,3,0.49,0.42,6.8,61,603,3.29,816.3,2.95,-2581
202.1,2,0.26,0.42,-8.7,58,483,3.22,582.8,1.26,-3932.6
288.6,2,0.25,0.34,25.7,34,199,3.64,2310.1,0.5,1046.2
114.6,1,0.28,0.47,21.8,39,263,3.21,897.9,0.74,140.1
141.8,2,0.13,0.46,7.8,43,759,3.05,423.8,0.99,-1202.3
173.3,1,0.48,0.45,2.4,57,399,3.22,186.8,1.92,-2068
104.1,2,0.18,0.27,2.5,62,720,3.66,99.8,1.3,-1155
236.2,1,0.46,0.44,11.2,52,954,5.24,673.9,4.39,-989.4
137.6,3,0.4,0.38,-4.6,65,641,3.65,179.1,2.56,-2149.4
147.1,3,0.45,0.37,-4.5,32,671,3.28,210.4,3.02,-2421.9
166.7,3,0.15,0.42,12,58,838,6.17,372.9,1.26,-510.8
256.3,2,0.32,0.34,-7.4,47,446,0.09,22972,1.43,-6959.4
179.6,1,0.18,0.45,11.8,39,970,3.29,759.8,1.75,-988.2
240,2,0.24,0.39,15.7,21,164,3.79,1125.1,0.39,-640.9
201.8,2,0.3,0.47,17,46,670,3.37,1216.8,2.01,-401.4
87.3,1,0.23,0.38,31.7,50,638,3.77,835,1.47,636.3
148,1,0.44,0.41,21.5,44,318,5.2,757.6,1.4,106.6
236.5,3,0.32,0.29,3,63,978,3.2,341,3.13,-2733.9
237.6,1,0.32,0.24,14.2,72,295,3.33,1199.7,0.94,-919.2
170.3,3,0.2,0.47,14.4,21,603,3.49,805.3,1.21,-620.8
142.7,2,0.24,0.49,2.7,34,574,5.36,97.6,1.38,-1145.5
64.8,1,0.41,0.42,-3.3,33,293,3.61,65,1.2,-964.8
196.3,2,0.19,0.34,-1.2,78,155,5.28,42.5,0.29,-1964.3
223.9,1,0.11,0.47,16,44,477,3.53,1102.6,0.52,-579.5
222.9,3,0.47,0.39,-1.9,47,892,0.05,5549.7,4.19,-4857.1
220.1,2,0.17,0.21,14.3,24,260,3.53,985,0.44,-811.7
54.4,1,0.42,0.34,11.2,73,335,0.07,10846.9,1.41,-475.4
88.8,3,0.1,0.23,11.1,30,154,0.03,34977.4,0.15,-787.9
220.7,1,0.18,0.44,30.3,70,172,3.69,1986.6,0.31,1434.4
256.2,3,0.45,0.33,11,79,436,3.2,1121.6,1.96,-1567.9
96.3,3,0.29,0.48,-8.9,66,583,3.34,274.6,1.69,-1853.5
199.5,2,0.15,0.28,-3.6,67,837,3.28,180.7,1.26,-3163.9
82.2,3,0.31,0.34,11.9,54,578,3.69,321,1.79,-420.1
97.1,2,0.24,0.4,6.6,60,460,3.6,213.3,1.1,-832.7
154.8,2,0.25,0.21,-8.1,66,601,3.59,363.8,1.5,-2788.3
249.4,2,0.22,0.45,-6.4,39,919,0.05,30346.5,2.02,-6551.2
141.6,1,0.43,0.43,21.9,75,117,3.04,1246,0.5,187.3
185.5,1,0.3,0.36,34.1,65,489,3.57,2066.9,1.47,1681.8
70,3,0.17,0.4,1.5,34,853,3.61,49.5,1.45,-827.5
113.6,1,0.22,0.22,-4.8,65,264,0.07,8171,0.58,-2797.6
69.8,3,0.17,0.49,3.5,64,975,3.69,91.8,1.66,-726.7
76,1,0.13,0.3,25.7,28,565,3.22,660.2,0.73,293.7
77.6,3,0.41,0.34,6.1,26,158,0.03,19505.8,0.65,-1075.4
244.9,2,0.41,0.35,32.9,42,368,3.2,3068,1.51,2148.3
104.2,3,0.31,0.47,-7.1,33,308,0.03,27247.5,0.95,-2815.3
118.5,1,0.4,0.27,3.3,51,930,3.2,188,3.72,-1345.7
228.8,3,0.17,0.24,8.8,76,552,3.14,739.4,0.94,-1757.9
93.8,1,0.33,0.45,2.1,72,546,0.09,3212.7,1.8,-1663.9
189.8,3,0.28,0.23,-1.1,37,857,6.5,8.1,2.4,-1401.7
159.6,3,0.35,0.23,25.4,20,890,6.49,759.7,3.12,302.5
279.9,2,0.45,0.3,28,36,395,3.67,2652.9,1.78,1417.4
115.9,1,0.16,0.49,2.2,51,149,5.75,51.1,0.24,-876.8
249.4,1,0.29,0.34,7.8,22,538,3.18,748.7,1.56,-2075.1
299.6,2,0.42,0.45,28.2,77,788,3.68,2855.6,3.31,1552.6
233.3,3,0.49,0.4,-0.9,71,742,6.03,7.6,3.64,-1935.8
214.9,1,0.12,0.43,28.8,62,358,3.11,2135.7,0.43,1303
229,1,0.16,0.29,8,46,815,3.02,721.9,1.3,-1918.1
192.7,1,0.16,0.39,13.8,42,542,3.76,793.8,0.87,-745.5
278.2,2,0.12,0.41,19.2,29,347,5.21,1106.4,0.42,-106.6
96.4,2,0.26,0.29,22.5,61,813,5.02,505.9,2.11,120
86.8,1,0.24,0.29,9.3,30,893,3.01,329.2,2.14,-649.2
123.4,2,0.47,0.34,23.2,20,257,0.02,178741.2,1.21,394.1
240.3,1,0.46,0.5,26.2,75,149,5.77,1349.7,0.69,630.2
95.4,2,0.32,0.3,29.9,38,266,3.58,932.5,0.85,606.3
253.2,2,0.38,0.46,33.3,76,692,3.04,3369.1,2.63,2343.8
68.2,1,0.11,0.49,-1.6,21,532,0.05,1536.9,0.59,-1465.8
72.4,1,0.4,0.25,26.1,63,581,6.11,379.4,2.32,171.8
134,1,0.35,0.27,9.3,49,516,0.01,154552.9,1.81,-1432.4
266.6,3,0.27,0.31,18.1,32,220,3.73,1486.2,0.59,-317.6
220.7,3,0.22,0.23,-2.4,70,968,3.03,115.8,2.13,-3445.7
167.8,1,0.46,0.43,25.4,68,393,3.79,1404.6,1.81,562.7
295.9,2,0.18,0.39,27.2,59,641,5.09,1764.2,1.15,1046.1
282.1,2,0.44,0.33,-9.7,55,190,5.71,573.2,0.84,-3594.3
280.4,1,0.45,0.28,6.3,54,391,3.75,612.9,1.76,-2400.9
128.5,3,0.36,0.42,0.7,46,646,3.53,57.8,2.33,-1604.6
129.9,2,0.12,0.32,6.2,69,401,3.59,253.2,0.48,-1149.1
96.5,3,0.24,0.3,29.3,63,579,0.06,53822,1.39,892.1
274.6,1,0.13,0.48,29.6,50,280,3.14,2782.9,0.36,1808.4
81.9,1,0.18,0.39,13.9,60,716,3.46,377.1,1.29,-326.7
81.3,1,0.39,0.47,21.2,65,940,3.19,674.3,3.67,66.4
244.1,2,0.14,0.39,33.6,72,321,3.08,2876.5,0.45,2297.3
101.9,1,0.45,0.3,20,78,940,3.66,714.2,4.23,0
110.2,1,0.43,0.26,16.9,69,679,3.32,708.9,2.92,-228.2
264.8,2,0.34,0.45,34.9,42,859,0.02,553935.5,2.92,3937.6
226.2,3,0.3,0.5,18.8,48,387,3.03,1647.2,1.16,-189.2
163,3,0.3,0.27,31.1,56,988,3.11,1934.1,2.96,1246.6
57.6,1,0.13,0.32,28.3,60,146,3.1,562.9,0.19,329.9
208,1,0.2,0.47,7.1,38,237,3.28,511.8,0.47,-1803.1
251.3,1,0.46,0.35,18.4,53,584,3.76,1560.6,2.69,-250.9
97.6,2,0.4,0.33,13.5,63,691,3.01,552.2,2.76,-443.4
189.8,1,0.41,0.37,16.6,55,111,6.34,602.8,0.46,-236.2
275.5,2,0.29,0.38,34.1,44,781,3.08,3572.4,2.26,2688.1
203,1,0.36,0.22,30.2,27,484,0.09,81667.2,1.74,2052
138.2,3,0.25,0.38,12.2,22,912,3.18,641.1,2.28,-735.2
82.9,3,0.34,0.43,19.9,21,947,3.6,561.7,3.22,-5.3
89.6,1,0.46,0.46,8.3,46,944,3.43,297,4.34,-688.7
173.1,1,0.38,0.47,15.7,49,670,3.63,928.9,2.55,-474.1
198.6,2,0.2,0.48,34.7,29,676,0.01,772824.1,1.35,2916.5
120.4,3,0.35,0.38,-9.2,32,182,3.27,390.1,0.64,-2366.1
138.6,1,0.17,0.32,27.3,63,713,3.29,1280.4,1.21,678.9
197.8,2,0.23,0.23,-9.1,77,117,5.07,390.8,0.27,-2837.7
200.9,2,0.33,0.29,-1.4,33,227,3.19,86.1,0.75,-2927.8
229.8,3,0.19,0.47,16.9,59,522,3.22,1361.5,0.99,-483
216.5,1,0.2,0.37,8.6,46,888,0.03,75318.9,1.78,-2460.7
56.1,2,0.23,0.21,-5.8,58,565,3.05,107.4,1.3,-1005.9
247.3,1,0.36,0.3,-2.3,58,411,0.01,55123.7,1.48,-5509.3
100.5,1,0.16,0.29,-2.2,35,252,3.03,69.8,0.4,-1555.1
253.3,2,0.41,0.36,17.5,29,702,3.07,1809.7,2.88,-438.8
53.2,2,0.21,0.43,26.9,76,813,0.1,16291.4,1.71,363.4
153.8,2,0.25,0.5,5.7,61,989,3.1,373.3,2.47,-1517.5
132.7,2,0.47,0.35,6.6,76,991,5.19,239.7,4.66,-855.3
191.8,1,0.29,0.32,24,54,408,0.07,76575.2,1.18,761.8
271.1,1,0.25,0.38,2.3,42,856,3.16,304.6,2.14,-3282.2
223.5,1,0.2,0.43,19.3,61,487,3.29,1478.6,0.97,-105
289,2,0.14,0.45,29.9,76,250,3.65,2554.3,0.35,1816.8
65,2,0.44,0.21,-8.6,33,407,0.06,10828.4,1.79,-1847.8
133.8,1,0.4,0.27,18.4,45,279,3.14,955.1,1.12,-146.9
297.2,1,0.3,0.22,6.2,40,554,3.21,719.1,1.66,-2784.8
